,"Beckham, Murphy  (885427) D",OFF,,13,02,13,02,OFF,,OFF,,OFF,,OFF,,13,17,13,06,13,17,OFF,,OFF,,OFF,,13,44,13,33,13,39,13,08,OFF,,OFF,,OFF,,13,14,13,41,13,46,13,22,OFF,,OFF,,OFF,,13,31,13,43,13,46,13,19
,"Bedford, Collin  (224947) D",13,47,OFF,,OFF,,OFF,,OFF,,13,43,13,10,13,43,OFF,,OFF,,OFF,,OFF,,OFF,,13,32,13,32,13,32,13,33,OFF,,OFF,,13,43,13,03,13,43,13,43,13,41,OFF,,OFF,,OFF,,OFF,,13,32,13,32,13,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name (ID) Qualification,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,May,
,,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,
,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,
,"Bedford, Collin  (224947) D",13,32,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bednarz, Jack  (857470) D",OFF,,OFF,,OFF,,OFF,,OFF,,13,41,13,06,OFF,,OFF,,OFF,,OFF,,13,42,13,42,13,42,13,43,OFF,,OFF,,13,36,13,45,13,44,13,04,13,35,13,39,13,45,OFF,,13,45,13,42,13,42,13,42,13,43,13,33
,"Berger, Teiva  (794819) D",05,13,05,33,05,33,05,38,05,19,OFF,,OFF,,OFF,,OFF,,05,40,05,40,05,40,OFF,,OFF,,OFF,,05,46,05,25,05,22,05,46,OFF,,OFF,,05,44,05,38,05,14,05,17,05,16,OFF,,OFF,,OFF,,05,02,OFF,
,"Berkebile, Eric  (395409) D, L, MAX",13,78,13,78,OFF,,OFF,,OFF,,13,62,13,62,13,62,13,62,OFF,,OFF,,OFF,,OFF,,13,78,13,78,13,78,13,78,OFF,,OFF,,OFF,,13,62,13,62,13,62,13,62,OFF,,OFF,,13,29,13,78,13,78,13,78,13,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bernal, Tabatha  (763999) D, E, J, P",OFF,,OFF,,OFF,,05,49,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,,05,04,05,RCP,OFF,,OFF,,OFF,,05,52,05,52,05,49,05,51,OFF,,05,51,OFF,,OFF,,05,,05,,05,,05,,OFF,,OFF,,13,56
,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,48,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,
,"Bickler, Marla  (655248) D",OFF,,OFF,,13,13,13,13,13,13,13,13,OFF,,OFF,,OFF,,13,15,13,13,13,13,13,13,13,13,OFF,,OFF,,OFF,,13,13,13,13,13,13,13,RC2,OFF,,OFF,,OFF,,OFF,,OFF,,13,13,13,13,13,13,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,L,F,L,F,,,,,,,,,,,,,L,F,,,,,,,,,,,,,L,F,L,S,L,S,,,,
,"Bilberry, Caleb  (844695) D",OFF,,05,45,05,OJT,05,OJT,05,17,05,24,05,45,OFF,,OFF,,OFF,,OFF,,OFF,,13,30,OFF,,05,19,05,36,05,04,05,34,05,17,05,44,OFF,,05,07,OFF,,OFF,,OFF,,05,08,05,29,OFF,,OFF,,05,02,05,32
,,,,,,,,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Billings, Donald  (485850) A, D, MAXPAY, S",13,A6,13,A6,13,A4,13,A4,13,A4,13,A4,OFF,,OFF,,OFF,,05,A4,05,A4,05,A4,05,A4,05,A3,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,A4,05,A4,05,A4,05,A4,OFF,,OFF,,OFF,
,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,e,L,e,L,f,L,f,,,,,,
,"Birkner, Jennifer   (624242) A, D, J, L, MAXPAY, Ops, P",05,C2,05,C2,05,C2,OFF,,OFF,,OFF,,OFF,,05,C9,05,C9,05,C10,05,C10,05,83,OFF,,21,C10,OFF,,05,C2,05,C2,05,38,05,19,OFF,,05,A3,05,A6,05,C9,05,C9,05,C10,05,C10,05,C1,OFF,,OFF,,OFF,,05,C2
,,L,S,L,S,L,S,,,,,,,,,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Black, Bree  (717407) D, E",13,34,13,34,13,34,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,34,13,34,13,34,OFF,,13,08,OFF,,OFF,,13,33,13,33,13,33,OFF,,OFF,,OFF,,OFF,,OFF,,13,34,13,34
,,,,L,S,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Blair, Deangelo  (233482) D, E, L, P",21,78,21,47,21,94,OFF,,05,78,21,78,21,78,21,78,21,52,21,82,OFF,,OFF,,OFF,,21,78,21,78,21,78,21,51,OFF,,OFF,,OFF,,21,78,21,78,21,78,21,62,21,62,21,29,21,54,OFF,,21,78,21,78,21,78
,"Blair, Rachel  (234866) D, L",05,,05,,OFF,,OFF,,OFF,,05,16,05,16,05,16,05,17,OFF,,OFF,,OFF,,OFF,,05,,05,,05,,05,,OFF,,OFF,,OFF,,05,16,OFF,,OFF,,05,17,OFF,,OFF,,OFF,,OFF,,05,21,05,44,05,82
,,L,V,L,V,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,L,V,,,,,L,w,,,,,,,,,,,,,,
,"Blatz, Brian  (151524) D, E, P",OFF,,OFF,,21,49,21,49,21,49,21,49,OFF,,OFF,,OFF,,21,65,21,49,21,49,OFF,,21,01,OFF,,21,55,21,54,21,56,OFF,,OFF,,OFF,,OFF,,21,RCP,21,49,21,50,21,49,21,49,21,49,21,49,OFF,,OFF,
,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name (ID) Qualification,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,May,
,,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,
,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,
,"Blatz, Brian  (151524) D, E, P",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,49,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Blount, Bryan  (460670) D, E, J, MAX, Ops",OFF,,05,C3,05,C4,05,C4,05,C10,OFF,,05,51,05,C10,05,C3,05,C8,05,C8,OFF,,OFF,,OFF,,OFF,,OFF,,05,C3,05,C3,05,C3,05,49,OFF,,OFF,,05,C7,05,C7,05,C8,05,C8,OFF,,OFF,,OFF,,OFF,,05,C7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,
,"Blue, Deanna  (567560) D, J, L, MAX, Ops, S",13,S1,OFF,,OFF,,OFF,,OFF,,OFF,,13,C10,13,C2,13,23,13,C11,13,C8,13,C8,13,C2,OFF,,OFF,,13,60,13,RCO,13,C9,OFF,,OFF,,OFF,,OFF,,13,C1,13,73,13,63,13,76,OFF,,OFF,,13,C4,13,RC2,13,C11
,,,,,,,,,,,,,,,,,,L,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,F,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Blume, William  (208290) D, E, MAX",OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,,21,56,21,11,21,23,21,19,21,58,21,56,OFF,,21,45,21,56,21,45,21,51,21,13,21,51,OFF,,21,49,21,19,21,23,21,17,21,55,21,55,OFF,,OFF,,OFF,
,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,L,S,,,,,,,,,,,,,,,L,e,,,,,,,,,L,V,,,,,,,,,,,,
,"Bodrie, Alex  (201127) A, D, I, Ops",OFF,,13,C3,13,C3,13,I1,13,C3,OFF,,OFF,,OFF,,13,A2,13,A2,13,A6,13,I1,OFF,,OFF,,13,I1,13,C3,13,C3,13,I2,13,C3,13,C3,OFF,,OFF,,OFF,,13,I1,13,A2,13,I2,13,RC2,13,I1,13,A5,14,94,OFF,
,"Bodrie, Ashleigh  (761872) D, MAXX, Ops",OFF,,OFF,,OFF,,OFF,,21,C6,21,C6,21,C6,21,47,21,C7,OFF,,OFF,,21,C6,21,C6,21,C6,21,C6,OFF,,OFF,,OFF,,OFF,,21,C6,21,C6,21,C6,21,C7,OFF,,OFF,,21,C7,21,C6,21,C6,21,C6,21,C6,OFF,
,"Bodrie, Max  (729213) D, L",21,15,21,15,OFF,,OFF,,21,41,21,13,21,15,21,15,21,15,OFF,,OFF,,OFF,,21,09,21,13,21,15,21,15,21,15,OFF,,OFF,,21,45,21,13,21,15,21,15,21,15,OFF,,OFF,,13,46,13,13,21,13,21,15,21,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V
,"Boles, Sarah  (263550) D",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,42,05,42,05,42,05,42,05,26,05,26,05,26,05,26,05,43,OFF,,OFF,,OFF,,05,32,OFF,,OFF,,05,42,05,42,05,42,05,42,05,26,05,26,05,26,05,26,OFF,,13,94
,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Boor, Karina  (603379) A, D, E, MAXX",OFF,,13,A3,13,A4,OFF,,OFF,,OFF,,13,A1,13,A4,13,A4,13,A4,OFF,,13,47,13,A6,13,A1,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,A5,13,A1,13,A4,13,A4,13,A4,OFF,,OFF,,13,A6,OFF,,OFF,,13,RC2
,"Bories, Brett  (231296) D",13,OJT,OFF,,OFF,,13,OJT,OFF,,OFF,,OFF,,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,OFF,,OFF,,13,OJT,13,OJT,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,OFF,,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,OFF,,OFF,,OFF,,OFF,
,"Boudreaux, Jason  (878578) D",05,OJT,05,OJT,OFF,,OFF,,OFF,,OFF,,05,OJT,05,OJT,05,OJT,05,OJT,OFF,,OFF,,OFF,,OFF,,05,OJT,05,OJT,05,OJT,05,OJT,OFF,,OFF,,OFF,,OFF,,05,OJT,05,OJT,05,OJT,21,OJT,21,OJT,OFF,,OFF,,OFF,,OFF,
,"Boulet, Samuel  (231240) NO QUALIFICATIONS",OFF,,OFF,,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,OFF,,OFF,,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,OFF,,OFF,,OFF,,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,OFF,,OFF,,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,OFF,,OFF,
,"Bova, Daniel  (757755) D, E, P",13,03,13,67,OFF,,OFF,,OFF,,OFF,,13,64,13,52,13,66,13,,OFF,,OFF,,OFF,,13,53,13,RCP,13,48,13,,OFF,,OFF,,OFF,,OFF,,13,67,13,56,13,65,13,65,OFF,,OFF,,OFF,,13,RC2,13,67,13,49
,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bowles, Connor  (743885) D, L",05,09,05,72,05,83,05,74,OFF,,OFF,,OFF,,05,82,13,74,13,81,13,,13,,OFF,,13,23,OFF,,05,17,05,81,05,78,05,73,13,93,OFF,,05,60,05,82,13,78,13,76,13,77,13,78,13,94,13,94,OFF,,05,77
,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bowser, Denny  (110791) D",05,06,05,06,05,06,OFF,,OFF,,OFF,,OFF,,05,07,05,07,05,07,05,07,OFF,,OFF,,OFF,,05,06,05,06,05,06,05,06,OFF,,OFF,,OFF,,OFF,,05,07,05,07,05,07,05,07,OFF,,OFF,,OFF,,05,06,05,06
,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,
Name (ID) Qualification,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,May,
,,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,
,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,
,"Boxen, Ron  (484747) D",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,10,05,10,05,10,05,10,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,10,05,10,05,10,OFF,,05,32,05,10,05,10,05,10,05,10,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,L,F,,,,,,,,,,,,,,,,,,
,"Boydston, Kevin  (856544) D, E, P",21,48,21,48,OFF,,OFF,,OFF,,OFF,,21,48,21,48,21,48,21,49,OFF,,13,67,21,55,21,48,21,48,21,48,21,RCP,OFF,,OFF,,OFF,,OFF,,21,48,21,48,21,48,21,49,21,15,OFF,,21,21,21,48,21,48,21,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Boyett, Tiffany  (893593) D",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,OJT,OFF,,05,OJT,OFF,,OFF,,OFF,,05,OJT,05,OJT,05,OJT,OFF,,OFF,,21,OJT,21,OJT,OFF,,OFF,,13,OJT,OFF,,OFF,,13,OJT,13,OJT,13,OJT,13,OJT,OFF,
,"Boynton, Joshua  (843857) A, D, J, MAXPAY, Ops, P",13,RCO,13,RCP,13,C1,OFF,,13,C11,OFF,,OFF,,OFF,,OFF,,OFF,,13,A2,13,A2,13,C4,13,A5,13,48,13,C1,13,A3,OFF,,13,37,13,04,13,C3,13,A6,OFF,,OFF,,13,C9,13,A2,13,A4,13,C4,13,A4,13,C1,13,C1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,
,"Bradley, Mark  (757632) A, D, E, J, L, P",OFF,,13,A5,13,95,13,81,13,77,21,A1,21,62,21,56,21,57,21,72,21,11,21,25,21,64,21,A1,OFF,,OFF,,21,55,21,15,OFF,,21,33,21,55,21,51,21,55,21,27,21,19,OFF,,21,74,21,74,21,74,21,45,21,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Brady, Mikle Timothy  (213469) D, E, L",05,10,OFF,,OFF,,OFF,,05,51,05,01,05,04,05,07,OFF,,OFF,,05,28,05,07,05,07,05,07,05,07,05,58,OFF,,OFF,,05,51,05,01,05,01,05,04,05,44,05,41,13,93,OFF,,05,07,05,07,05,07,05,07,OFF,
,,,,,,,,,,L,S,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Branco, Jon  (620539) D, E, J, L",13,75,OFF,,13,93,13,72,13,72,13,72,13,72,OFF,,OFF,,OFF,,OFF,,13,60,13,60,13,60,13,61,OFF,,OFF,,OFF,,13,72,13,72,13,72,13,72,OFF,,OFF,,OFF,,OFF,,13,60,13,60,13,60,13,RC2,14,04
,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Breuer, Christopher  (291444) D, J, L",05,21,OFF,,OFF,,OFF,,OFF,,13,35,13,35,13,35,13,73,OFF,,OFF,,05,35,05,35,05,35,05,35,05,33,13,14,13,60,OFF,,13,35,13,35,13,08,OFF,,13,77,OFF,,05,72,05,35,05,35,05,35,05,35,OFF,
,,L,A,,,,,,,,,,,,,,,,,,,,,L,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Brodin, Terry  (310776) D",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,16,05,15,05,15,05,15,05,15,05,02,05,02,05,02,05,02,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,15,05,15,05,15,05,15,05,02,05,02,05,02,05,RC2,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Brooks, Rick  (302094) D, L",05,60,05,60,05,60,OFF,,OFF,,OFF,,05,79,05,79,05,79,05,79,OFF,,OFF,,OFF,,OFF,,05,60,05,60,OFF,,OFF,,OFF,,OFF,,OFF,,05,79,05,79,05,79,05,79,OFF,,OFF,,OFF,,OFF,,05,60,05,60
,,L,S,L,S,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Buchanan, Heather  (698167) D, E",05,15,05,16,05,34,OFF,,OFF,,05,53,05,19,05,44,05,28,OFF,,OFF,,OFF,,OFF,,OFF,,05,45,05,08,05,45,05,04,OFF,,OFF,,05,33,05,38,05,14,05,46,OFF,,OFF,,OFF,,05,03,OFF,,05,26,05,RC2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
Name (ID) Qualification,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,Apr,,May,
,,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,
,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,
,"Burrows, Jeff  (493694) D, L, MAXPAY, S",07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,05,,07,,07,,OFF,,OFF,,05,,07,,07,,07,,07,
,,,,,,,,,,,,,,,,,,L,w,L,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,w,L,w,L,w
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,,05,,05,
,"Burton, Greg  (233064) D, L, P",13,22,OFF,,13,73,13,78,13,21,13,83,13,83,OFF,,13,67,13,40,13,79,13,79,13,02,13,41,OFF,,OFF,,13,66,13,21,13,21,13,21,OFF,,OFF,,OFF,,13,31,13,74,13,79,13,RC2,13,RCP,OFF,,13,11,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,F,L,F,L,F,L,F,,,,,,,,,,,,,,,,,,,,,,
,"Bushey, Craig  (310752) D",05,28,OFF,,OFF,,OFF,,OFF,,05,28,05,28,05,28,05,29,OFF,,OFF,,OFF,,05,28,05,28,05,28,05,28,OFF,,OFF,,OFF,,05,38,05,28,05,28,05,28,OFF,,OFF,,OFF,,OFF,,05,28,05,28,05,28,05,RC2
,"Camp, Kyle  (589417) A, D, I, MAXPAY, Ops",05,C6,05,I2,05,I2,13,95,OFF,,OFF,,OFF,,05,C5,05,33,OFF,,05,C9,05,I1,05,C9,05,C9,05,C9,05,C9,05,C9,05,C9,OFF,,OFF,,05,C3,05,C11,05,C8,05,C3,OFF,,05,C9,05,I1,05,A3,05,C9,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,L,V,,,,,L,S,,,,,,,,,L,V,,,,,,,,,,
,"Campbell, Donald  (424879) D",13,08,13,09,OFF,,OFF,,OFF,,13,08,13,08,13,08,13,08,OFF,,OFF,,OFF,,13,24,13,08,13,08,13,08,13,09,OFF,,OFF,,OFF,,13,08,OFF,,13,08,13,08,OFF,,OFF,,OFF,,OFF,,13,08,OFF,,13,08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,L,e,,,L,E,L,w,,,,,,,,,L,E,,,L,E
,"Canatella, Michael  (260326) D, L",13,36,13,37,OFF,,OFF,,13,19,13,36,OFF,,13,36,13,36,OFF,,OFF,,OFF,,OFF,,13,36,13,36,13,36,13,37,OFF,,OFF,,OFF,,13,36,13,36,13,36,OFF,,13,36,OFF,,OFF,,OFF,,13,36,13,36,OFF,
,,L,V,L,V,,,,,,,,,,,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cannon, Stephen  (538601) A, D, MAXPAY, Ops, S",OFF,,21,RCO,21,C10,21,C10,21,C10,OFF,,OFF,,OFF,,21,C10,21,C10,21,C10,21,C10,OFF,,OFF,,OFF,,OFF,,21,C10,21,C10,21,C10,21,C10,OFF,,OFF,,21,A1,21,C10,21,C10,21,C10,21,C10,OFF,,OFF,,OFF,,21,C10
,"Cantrell, Josh  (293012) D, J, L",21,27,21,27,21,27,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,27,21,27,21,29,21,29,21,15,21,27,21,27,OFF,,OFF,,OFF,,21,29,21,29,21,27,21,27,21,27
,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,e,L,S,L,S
